               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.057262,            0.029629,                   0,             0.38044,             0.53333,             0.47617,             0.15949,            0.055425,            0.019752,                   0,             0.00461,             0.00461,             0.00461
                  51,            0.061582,            0.031544,                   0,             0.48695,             0.63276,             0.51464,             0.18092,            0.052291,            0.019609,                   0,              0.0045,              0.0045,              0.0045
                  52,            0.061636,            0.025774,                   0,             0.48695,             0.63276,             0.51464,             0.18092,            0.052291,            0.019609,                   0,             0.00439,             0.00439,             0.00439
                  53,            0.057656,            0.030434,                   0,             0.46435,             0.54926,             0.50928,             0.16047,            0.051672,            0.019468,                   0,             0.00428,             0.00428,             0.00428
                  54,            0.055983,             0.03335,                   0,             0.35024,                 0.6,             0.43469,             0.15821,            0.054374,            0.018284,                   0,             0.00417,             0.00417,             0.00417
                  55,            0.058046,            0.028669,                   0,             0.35024,                 0.6,             0.43469,             0.15821,            0.054374,            0.018284,                   0,             0.00406,             0.00406,             0.00406
                  56,            0.056933,            0.025552,                   0,             0.47728,             0.66667,             0.50001,             0.19274,            0.052219,            0.018214,                   0,             0.00395,             0.00395,             0.00395
                  57,            0.057869,            0.032392,                   0,             0.47728,             0.66667,             0.50001,             0.19274,            0.052219,            0.018214,                   0,             0.00384,             0.00384,             0.00384
                  58,             0.05249,             0.02699,                   0,             0.40817,             0.66667,              0.5188,             0.20325,            0.052069,            0.018202,                   0,             0.00373,             0.00373,             0.00373
                  59,            0.055158,            0.024848,                   0,             0.40624,                 0.6,             0.45494,             0.15548,            0.060398,            0.016806,                   0,             0.00362,             0.00362,             0.00362
                  60,            0.054498,            0.023362,                   0,             0.40624,                 0.6,             0.45494,             0.15548,            0.060398,            0.016806,                   0,             0.00351,             0.00351,             0.00351
                  61,            0.058839,            0.028546,                   0,             0.43299,                 0.6,               0.477,             0.18329,            0.054966,            0.017465,                   0,              0.0034,              0.0034,              0.0034
                  62,            0.053951,              0.0273,                   0,             0.49425,                 0.7,             0.59072,             0.20141,            0.050963,            0.017936,                   0,             0.00329,             0.00329,             0.00329
                  63,            0.057019,             0.02992,                   0,             0.49425,                 0.7,             0.59072,             0.20141,            0.050963,            0.017936,                   0,             0.00318,             0.00318,             0.00318
                  64,            0.049934,            0.023899,                   0,             0.62353,             0.73333,             0.64532,             0.25379,            0.049781,            0.017858,                   0,             0.00307,             0.00307,             0.00307
                  65,            0.049902,            0.028003,                   0,             0.62353,             0.73333,             0.64532,             0.25379,            0.049781,            0.017858,                   0,             0.00296,             0.00296,             0.00296
                  66,            0.048859,            0.026428,                   0,             0.60862,             0.67402,             0.63476,             0.24066,             0.05084,            0.017651,                   0,             0.00285,             0.00285,             0.00285
                  67,            0.051246,            0.029391,                   0,             0.61475,                 0.7,             0.69432,             0.26123,            0.049931,            0.017792,                   0,             0.00274,             0.00274,             0.00274
                  68,            0.050652,            0.027881,                   0,             0.61475,                 0.7,             0.69432,             0.26123,            0.049931,            0.017792,                   0,             0.00263,             0.00263,             0.00263
                  69,            0.053081,            0.030379,                   0,             0.60186,             0.75604,              0.7163,             0.26279,             0.04919,            0.017769,                   0,             0.00252,             0.00252,             0.00252
                  70,            0.051507,             0.02749,                   0,             0.61793,             0.75496,             0.67362,             0.24567,            0.049249,             0.01728,                   0,             0.00241,             0.00241,             0.00241
                  71,            0.052392,            0.029419,                   0,             0.61793,             0.75496,             0.67362,             0.24567,            0.049249,             0.01728,                   0,              0.0023,              0.0023,              0.0023
                  72,             0.05111,            0.027373,                   0,             0.52596,              0.7398,             0.64976,             0.26675,            0.048802,            0.017372,                   0,             0.00219,             0.00219,             0.00219
                  73,            0.051191,            0.025435,                   0,             0.52596,              0.7398,             0.64976,             0.26675,            0.048802,            0.017372,                   0,             0.00208,             0.00208,             0.00208
                  74,             0.04822,            0.028217,                   0,             0.55797,             0.76667,             0.65038,               0.282,            0.048723,            0.017371,                   0,             0.00197,             0.00197,             0.00197
                  75,             0.05293,            0.028294,                   0,             0.53594,                 0.8,             0.67841,             0.28873,            0.047695,            0.017465,                   0,             0.00186,             0.00186,             0.00186
                  76,             0.04915,            0.029242,                   0,             0.53594,                 0.8,             0.67841,             0.28873,            0.047695,            0.017465,                   0,             0.00175,             0.00175,             0.00175
                  77,            0.052937,            0.031238,                   0,              0.5114,                 0.8,             0.68451,             0.26415,            0.047965,            0.017489,                   0,             0.00164,             0.00164,             0.00164
                  78,            0.054437,            0.029722,                   0,              0.5329,             0.73333,             0.65553,             0.28725,            0.047988,            0.017363,                   0,             0.00153,             0.00153,             0.00153
                  79,             0.04991,             0.02399,                   0,              0.5329,             0.73333,             0.65553,             0.28725,            0.047988,            0.017363,                   0,             0.00142,             0.00142,             0.00142
                  80,            0.050039,            0.026389,                   0,             0.54315,             0.75316,             0.65165,              0.2554,            0.048679,            0.017239,                   0,             0.00131,             0.00131,             0.00131
                  81,            0.049738,            0.028027,                   0,             0.54315,             0.75316,             0.65165,              0.2554,            0.048679,            0.017239,                   0,              0.0012,              0.0012,              0.0012
                  82,            0.049475,            0.025898,                   0,             0.52384,             0.77016,             0.65911,             0.26484,            0.048674,            0.017141,                   0,             0.00109,             0.00109,             0.00109
                  83,            0.049108,            0.027024,                   0,             0.53776,             0.76667,             0.66092,             0.26274,            0.048292,            0.017321,                   0,             0.00098,             0.00098,             0.00098
                  84,            0.048985,            0.025308,                   0,             0.53776,             0.76667,             0.66092,             0.26274,            0.048292,            0.017321,                   0,             0.00087,             0.00087,             0.00087
                  85,            0.046009,            0.026116,                   0,             0.53049,             0.67811,             0.68243,             0.29249,            0.047599,            0.017319,                   0,             0.00076,             0.00076,             0.00076
                  86,            0.046739,            0.030217,                   0,             0.59962,             0.74904,             0.73401,             0.31127,            0.046599,            0.017246,                   0,             0.00065,             0.00065,             0.00065
                  87,            0.047961,            0.028412,                   0,             0.59962,             0.74904,             0.73401,             0.31127,            0.046599,            0.017246,                   0,             0.00054,             0.00054,             0.00054
                  88,            0.047095,            0.024487,                   0,             0.63328,             0.73333,             0.75917,              0.3233,            0.046371,            0.017136,                   0,             0.00043,             0.00043,             0.00043
                  89,            0.048098,            0.025429,                   0,             0.63328,             0.73333,             0.75917,              0.3233,            0.046371,            0.017136,                   0,             0.00032,             0.00032,             0.00032
